Movie,Userscore,Reviewer
whiplash,10,Futuredirector
the-wind-rises,9,grandpajoe6191
how-to-train-your-dragon-2,10,IMAX500
how-to-train-your-dragon-2,10,Bikerjames
dawn-of-the-planet-of-the-apes,10,lukechristiansc
how-to-train-your-dragon-2,9,Forrestgump1
dawn-of-the-planet-of-the-apes,9,TheQuietGamer
gone-girl,10,lukechristiansc
dawn-of-the-planet-of-the-apes,10,MrMovieBuff
neighbors,9,TheQuietGamer
the-fault-in-our-stars,9,Forrestgump1
the-fault-in-our-stars,10,lukechristiansc
ida,9,EpicLadySponge
a-million-ways-to-die-in-the-west,9,lukechristiansc
filth,9,TheQuietGamer
blue-ruin,10,TVJerry
the-face-of-love,10,lukechristiansc
under-the-skin,9,Bikerjames
heaven-is-for-real,10,lukechristiansc
rio-2,9,lukechristiansc
oculus,10,lukechristiansc
the-missing-picture,9,EpicLadySponge
non-stop-2014,10,lukechristiansc
x-men-days-of-future-past,9,TheQuietGamer
the-lego-movie,9,MonkiReviews
x-men-days-of-future-past,10,MrMovieBuff
mad-max-fury-road,9,nutterjr
about-last-night,9,lukechristiansc
jack-ryan-shadow-recruit,9,lukechristiansc
the-lego-movie,10,Annoymous1
pompeii,9,TheQuietGamer
mad-max-fury-road,10,Iky009
the-grand-budapest-hotel,10,Forrestgump1
300-rise-of-an-empire,9,lukechristiansc
lone-survivor,9,TheQuietGamer
noah,9,TheQuietGamer
philomena,9,lukechristiansc
philomena,9,Bikerjames
the-monuments-men,10,lukechristiansc
x-men-days-of-future-past,9,Forrestgump1
philomena,9,lasttimeisaw
godzilla-2014,10,TheQuietGamer
august-osage-county,9,Bikerjames
the-broken-circle-breakdown,10,nutterjr
the-great-beauty,9,nicholasbert
x-men-days-of-future-past,9,homer4president
august-osage-county,10,lukechristiansc
the-grand-budapest-hotel,9,Jacob
the-grand-budapest-hotel,9,Bikerjames
the-lego-movie,9,homer4president
the-wolf-of-wall-street,9,grandpajoe6191
the-lego-movie,9,Futuredirector
frozen-2013,9,thetvreviewman
saving-mr-banks,9,TheQuietGamer
american-hustle,9,TVJerry
frozen-2013,10,MrMovieBuff
frozen-2013,9,bethanyrobben
inside-llewyn-davis,9,Bikerjames
the-lego-movie,10,TheQuietGamer
the-lego-movie,10,IMAX500
frozen-2013,10,Parade
the-secret-life-of-walter-mitty,10,lukechristiansc
all-is-lost,9,nutterjr
saving-mr-banks,9,MrMovieBuff
godzilla-2014,9,Forrestgump1
frozen-2013,10,DrNegative
the-wolf-of-wall-street,10,TVJerry
all-is-lost,9,Bikerjames
the-lego-movie,9,kristen58
frozen-2013,9,mapizarro
escape-plan,9,TheQuietGamer
the-secret-life-of-walter-mitty,9,MonkiReviews
jackass-presents-bad-grandpa,9,TVJerry
anchorman-2-the-legend-continues,10,lukechristiansc
godzilla-2014,10,lukechristiansc
anchorman-2-the-legend-continues,9,TheQuietGamer
frozen-2013,10,reneewallace
riddick,9,TheQuietGamer
inside-llewyn-davis,9,EpicLadySponge
20-feet-from-stardom,9,Bikerjames
dallas-buyers-club,10,lukechristiansc
the-spectacular-now,9,nutterjr
enough-said,10,lukechristiansc
the-hobbit-the-desolation-of-smaug,9,TheQuietGamer
the-spectacular-now,10,lukechristiansc
lee-daniels-the-butler,10,lukechristiansc
the-hunt,9,nutterjr
fast-furious-6,9,TheQuietGamer
fast-furious-6,9,Zilcell
the-hunt,9,TVJerry
the-hunt,9,Iky009
wolf-children,9,Iky009
the-lego-movie,9,CineAutoctono
wolf-children,9,SEROJ
american-hustle,10,lukechristiansc
prisoners,9,nutterjr
red-2,10,lukechristiansc
frances-ha,9,Shiira
girl-most-likely,10,lukechristiansc
prisoners,9,TheQuietGamer
despicable-me-2,9,Rox22
turbo,9,TheQuietGamer
barbara,10,Bikerjames
parkland,10,lukechristiansc
a-hijacking,9,nutterjr
kevin-hart-let-me-explain,9,TheQuietGamer
despicable-me-2,9,MonkiReviews
frozen-2013,10,lukechristiansc
the-wolf-of-wall-street,9,lukechristiansc
fast-furious-6,10,lukechristiansc
the-croods,9,Bikerjames
the-croods,9,TheQuietGamer
the-croods,9,Zilcell
frozen-2013,10,BasilZero
after-earth,9,TheQuietGamer
from-up-on-poppy-hill,10,mapizarro
war-witch,9,nutterjr
frozen-2013,9,Daniel17
blancanieves,9,mapizarro
from-up-on-poppy-hill,9,jeff_reviews
frozen-2013,9,MonkiReviews
the-wolverine,9,TheQuietGamer
man-of-steel,9,Rox22
now-you-see-me,9,Forrestgump1
the-reluctant-fundamentalist,9,TVJerry
amour,10,nutterjr
now-you-see-me,9,TVJerry
world-war-z,10,Parade
now-you-see-me,9,TheQuietGamer
the-purge,10,lukechristiansc
the-place-beyond-the-pines,9,nutterjr
amour,9,EpicLadySponge
the-place-beyond-the-pines,9,worleyjamers
the-gatekeepers,9,EpicLadySponge
olympus-has-fallen,9,Forrestgump1
the-call,9,TVJerry
olympus-has-fallen,10,Zilcell
spring-breakers,9,Shiira
the-call,9,TheQuietGamer
the-wolverine,9,MrMovieBuff
hansel-and-gretel-witch-hunters,9,TheQuietGamer
spring-breakers,10,cameronmorewood
the-last-exorcism-part-ii,10,lukechristiansc
42,9,Forrestgump1
the-call,10,lukechristiansc
cloud-atlas,10,cameronmorewood
42,10,lukechristiansc
side-effects-2013,9,worleyjamers
movie-43,9,TheQuietGamer
side-effects-2013,9,Forrestgump1
texas-chainsaw-3d,9,TheQuietGamer
django-unchained,10,Forrestgump1
the-impossible,9,jordi
the-impossible,9,Bikerjames
jack-reacher,10,Zilcell
django-unchained,10,TVJerry
world-war-z,9,TheQuietGamer
jack-reacher,9,Forrestgump1
the-great-gatsby,10,lukechristiansc
a-haunted-house,9,lukechristiansc
django-unchained,9,Bikerjames
silver-linings-playbook,9,Shiira
lincoln,9,TVJerry
waiting-for-lightning,10,SimpsonFans
argo,10,Forrestgump1
les-miserables,9,heyitsmegrif4
les-miserables,10,TVJerry
lincoln,10,cameronmorewood
silver-linings-playbook,10,Bikerjames
the-twilight-saga-breaking-dawn---part-2,9,jordi
side-by-side,9,cameronmorewood
silver-linings-playbook,9,heyitsmegrif4
argo,10,smijatov
celeste-and-jesse-forever,9,lukechristiansc
argo,9,nutterjr
silver-linings-playbook,9,cameronmorewood
this-is-40,9,lukechristiansc
flight,10,cameronmorewood
silver-linings-playbook,9,Forrestgump1
world-war-z,10,lukechristiansc
seven-psychopaths,9,cameronmorewood
hotel-transylvania,9,lukechristiansc
argo,9,cameronmorewood
the-master,10,cameronmorewood
django-unchained,9,grandpajoe6191
silver-linings-playbook,10,worleyjamers
django-unchained,10,Zilcell
les-miserables,9,Forrestgump1
brave,10,heyitsmegrif4
lincoln,9,worleyjamers
arthur-christmas,9,TheQuietGamer
arthur-christmas,9,Halfwelshman
les-miserables,10,InspectorJ
flight,9,lukechristiansc
paranorman,9,heyitsmegrif4
les-miserables,9,jordi
men-in-black-iii,9,Zilcell
lawless,9,TheQuietGamer
the-master,9,nutterjr
argo,9,jordi
brave,9,TheQuietGamer
the-master,10,j30
django-unchained,9,Iky009
the-master,9,lasttimeisaw
silver-linings-playbook,10,lukechristiansc
lincoln,10,MrMovieBuff
men-in-black-iii,10,TVJerry
django-unchained,9,worleyjamers
safe,9,TheQuietGamer
sound-of-my-voice,9,Shiira
the-cabin-in-the-woods,10,cameronmorewood
the-avengers-2012,9,TheQuietGamer
the-expendables-2,9,TheQuietGamer
argo,9,CineAutoctono
argo,9,EpicLadySponge
dr-seuss-the-lorax,9,heyitsmegrif4
the-avengers-2012,9,worleyjamers
the-avengers-2012,10,jeff_reviews
